,artist,song,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
903,the bangles,eternal flame,spotify:track:5MoDQWMDMaAGDEiWsJfeCi,0.526,0.358,4,-7.239,0,0.0243,0.525,0,0.0942,0.399,78.989,238027,3
904,richard marx,right here waiting,spotify:track:4LFwNJWoj74Yd71fIr1W8x,0.395,0.252,0,-13.589,1,0.0301,0.8,0,0.101,0.126,177.679,264333,4
905,roxette,the look,spotify:track:79LdvxXi5JYUjhnO7v9Fi3,0.634,0.838,2,-5.363,1,0.0413,0.0531,8.34e-06,0.0522,0.541,95.011,237320,4
906,jive bunny & the mastermixers,swing the mood,spotify:track:3Aimpqxpvmz7jhJlNnEd5c,0.865,0.512,8,-13.376,1,0.0521,0.049,0.0173,0.201,0.879,92.512,259573,4
907,the b52s,love shack,spotify:track:4W4wYHtsrgDiivRASVOINL,0.701,0.803,5,-6.786,0,0.0545,0.0544,1.54e-06,0.7,0.903,133.608,320680,4
908,prince,batdance,spotify:track:4DbUk1qwcz9KKcUY4t8f8u,0.594,0.702,1,-9.894,1,0.0842,0.168,0.109,0.142,0.466,135.406,373733,4
909,kaoma,lambada,spotify:track:6xepovPqjvrkEw9Y5AMmTm,0.756,0.8,5,-5.158,1,0.0329,0.211,0.000724,0.0466,0.967,118.924,207467,4
910,mike & the mechanics,the living years,spotify:track:7tJnjRY2js0yXtNUWE4fgF,0.518,0.417,8,-13.268,1,0.0325,0.58,0,0.0722,0.311,97.63,330267,4
911,milli vanilli,"girl, i'm gonna miss you",spotify:track:1ffAMndLMFbKHpXuIDBwc1,0.754,0.453,9,-9.862,1,0.0443,0.0998,0.00487,0.108,0.758,151.239,238840,4
912,madonna,express yourself,spotify:track:6ioBgySxoeQKALvAeLEmId,0.667,0.93,7,-4.585,1,0.0608,0.0108,0,0.176,0.893,115.57,239093,4
913,simply red,if you don't know me by now,spotify:track:7DFawVSjI88xR9mjnWwURg,0.638,0.352,10,-9.266,1,0.0268,0.492,0,0.105,0.204,94.173,204000,3
914,technotronic,pump up the jam ,spotify:track:21qnJAMtzC6S5SESuqQLEK,0.885,0.844,10,-9.225,0,0.0733,0.0147,4.49e-06,0.0494,0.715,124.602,320307,4
915,paula abdul,straight up,spotify:track:5xl5582IihbEZAnfj0xyso,0.769,0.826,7,-8.252,1,0.0624,0.267,0.0177,0.0638,0.762,95.862,250032,4
916,bette midler,wind beneath my wings,spotify:track:2Pxqs0WmxxHTV5QaTdmt3Q,0.51,0.458,10,-7.566,1,0.0289,0.551,0,0.0853,0.177,123.694,293853,4
917,soul ii soul,back to life (however do you want me),spotify:track:7ELuWpsuVCRBnOR9ZAZKDp,0.819,0.611,7,-7.428,1,0.129,0.0673,7.7e-05,0.0477,0.653,101.001,232133,4
918,martika,toy soldiers,spotify:track:4jh9olf0OKCokpzxSyLeJx,0.513,0.591,1,-6.407,0,0.0274,0.405,0,0.126,0.173,130.167,287600,4
919,cher,if i could turn back time,spotify:track:6mYrhCAGWzTdF8QnKuchXM,0.658,0.575,11,-10.365,1,0.0267,0.243,0,0.122,0.504,108.329,239827,4
920,billy joel,we didn't start the fire,spotify:track:3Cx4yrFaX8CeHwBMReOWXI,0.712,0.967,7,-5.206,1,0.047,0.0771,0,0.356,0.895,145.024,287733,4
921,janet jackson,miss you much,spotify:track:4r5VaK6H1bq0cTGPMTN97Z,0.702,0.975,6,-7.968,0,0.0396,0.0305,0.000134,0.165,0.646,115.185,252333,4
922,roxette,listen to your heart,spotify:track:1qIKynV6YQZgocodkPdCy7,0.539,0.583,1,-4.935,0,0.0275,0.108,0,0.111,0.337,86.063,328093,4
923,new kids on the block,you got it (the right stuff),spotify:track:4buDeg67vos7KP1yHrS9wl,0.787,0.522,0,-13.029,0,0.0578,0.0126,1.34e-06,0.0671,0.923,111.576,249960,4
924,chicago,look away,spotify:track:2dEVFDQ9Z9Gyl73yhoKl65,0.553,0.545,9,-7.278,1,0.0261,0.385,5.36e-06,0.105,0.201,85.959,242960,4
925,neneh cherry,buffalo stance,spotify:track:3XWgwgbWDI56mf1Wl3cLzb,0.708,0.627,1,-11.155,1,0.0614,0.0113,3.13e-05,0.338,0.764,107.246,342360,4
926,fine young cannibals,good thing,spotify:track:6lRkdG1HurVS72F9GoBeWJ,0.747,0.586,9,-10.119,0,0.0299,0.0708,8e-05,0.0427,0.893,164.718,201867,4
